who,color,hierarchy,polity,degree,clustering-coeff,resources
272,105,0,(turtle 317),15,0.0857142857142857,5876653670419.963
253,105,0,(turtle 317),14,0.0549450549450549,3045397390388.4355
950,105,0,(turtle 317),17,0.0220588235294117,4003443584637.097
212,105,0,(turtle 317),26,0.0738461538461538,2376795170668.8438
437,105,0,(turtle 317),14,0.0659340659340659,2067303774963.541
546,105,0,(turtle 317),14,0.0989010989010989,3437054595989.8984
930,105,130,(turtle 317),129,0.0130813953488372,107132300497.33554
799,105,0,(turtle 317),15,0.0571428571428571,2539525054675.55
587,105,0,(turtle 317),17,0.088235294117647,4137697861494.4272
900,105,0,(turtle 317),13,0.0641025641025641,1982792740495.47
716,105,0,(turtle 317),15,0.019047619047619,3166522978286.489
874,105,0,(turtle 317),11,0.0545454545454545,4957937204754.532
16,105,0,(turtle 317),15,0.0380952380952381,1607903228154.0078
473,105,0,(turtle 317),13,0.0256410256410256,2103382425394.183
302,105,0,(turtle 317),14,0.0219780219780219,3152952471156.024
59,105,0,(turtle 317),13,0.0512820512820512,3013290479263.035
857,105,0,(turtle 317),14,0.0439560439560439,3054478916285.981
144,105,0,(turtle 317),14,0.0659340659340659,1543607473929.7676
35,105,0,(turtle 317),13,0.0769230769230769,2704632052041.1694
247,105,116,(turtle 317),114,0.0122651762148734,9239926156.901718
696,105,102,(turtle 317),97,0.0137457044673539,2276077970.0470424
820,105,0,(turtle 317),12,0.1212121212121212,1945781604768.4924
640,105,0,(turtle 317),17,0.0735294117647058,1909809995787.476
911,105,0,(turtle 317),17,0.0661764705882353,1795997563687.1353
397,105,99,(turtle 317),100,0.0165656565656565,2640857629.6813664
472,105,0,(turtle 317),22,0.0303030303030303,2921744183861.3867
879,105,0,(turtle 317),16,0.0416666666666666,1970118634731.0264
2,105,118,(turtle 317),112,0.0096525096525096,11503734862.043827
532,105,0,(turtle 317),14,0.0879120879120879,2132575141834.9053
373,105,0,(turtle 317),20,0.0526315789473684,4027435282111.4194
583,105,0,(turtle 317),14,0.0439560439560439,2125489931218.5825
227,105,0,(turtle 317),13,0.0384615384615384,3123196442564.503
690,105,0,(turtle 317),13,0.1025641025641025,1528078184634.522
511,105,0,(turtle 317),17,0.0588235294117647,2276691118663.716
718,105,0,(turtle 317),12,0.0606060606060606,3022025545373.3003
506,105,15,(turtle 317),31,0.0709677419354838,515188411.8440948
786,105,0,(turtle 317),18,0.0457516339869281,5472759988815.945
776,105,105,(turtle 317),99,0.0187590187590187,3563203771.8780413
187,105,0,(turtle 317),18,0.065359477124183,1736253599259.158
608,105,0,(turtle 317),19,0.0467836257309941,2805807326015.8486
604,105,0,(turtle 317),14,0.0219780219780219,2856980021240.5293
468,105,0,(turtle 317),14,0.0219780219780219,2521832834689.9824
987,105,0,(turtle 317),15,0.0380952380952381,2439534566827.1763
521,105,0,(turtle 317),8,0.0,1402284441546.1584
709,105,0,(turtle 317),16,0.05,3180762816598.7964
920,105,121,(turtle 317),117,0.0073681108163866,16479000675.726784
647,105,0,(turtle 317),26,0.0646153846153846,3795620933012.941
17,105,0,(turtle 317),14,0.0549450549450549,2582497615740.1704
702,105,0,(turtle 317),12,0.0757575757575757,2288320682655.393
132,105,0,(turtle 317),10,0.0888888888888888,1739779114098.7332
76,105,0,(turtle 317),11,0.0181818181818181,2941882663200.5
15,105,0,(turtle 317),18,0.0718954248366013,3315196729658.805
129,105,0,(turtle 317),12,0.0454545454545454,4924525398107.929
343,105,0,(turtle 317),9,0.0555555555555555,2242644644648.8774
488,105,0,(turtle 317),16,0.0833333333333333,1387903736931.2734
585,105,18,(turtle 317),31,0.0623655913978494,380525523.509491
396,105,0,(turtle 317),13,0.0384615384615384,3722837925431.345
997,105,0,(turtle 317),16,0.0833333333333333,3125379097278.3354
939,105,0,(turtle 317),15,0.1047619047619047,3714827858251.664
642,105,0,(turtle 317),15,0.0952380952380952,2845401648956.204
74,105,0,(turtle 317),20,0.0578947368421052,2578093248103.6904
12,105,0,(turtle 317),16,0.0583333333333333,1136289214335.9104
0,105,0,(turtle 317),10,0.0888888888888888,3132712601166.029
172,105,0,(turtle 317),15,0.0476190476190476,4848781420584.882
764,105,0,(turtle 317),21,0.0761904761904762,1870936841227.42
813,105,0,(turtle 317),15,0.0285714285714285,3240529179871.3296
394,105,0,(turtle 317),18,0.0261437908496732,2859210072599.499
105,105,0,(turtle 317),21,0.0571428571428571,5976610367159.502
404,105,0,(turtle 317),16,0.0666666666666666,2468443418006.944
448,105,116,(turtle 317),115,0.0083905415713196,6661516162.196252
996,105,0,(turtle 317),16,0.0583333333333333,2309619051233.8955
631,105,0,(turtle 317),12,0.0,4586332921767.126
948,105,0,(turtle 317),19,0.0409356725146198,4422923498449.922
424,105,0,(turtle 317),13,0.0512820512820512,3615738616321.3823
770,105,0,(turtle 317),20,0.0473684210526315,5911221907384.395
461,105,0,(turtle 317),17,0.0294117647058823,2767205438007.767
153,105,0,(turtle 317),20,0.0421052631578947,3080185802153.6577
166,105,0,(turtle 317),15,0.0380952380952381,3167848805005.472
353,105,0,(turtle 317),12,0.0151515151515151,4424439534504.14
274,105,0,(turtle 317),11,0.0181818181818181,2163963280671.6228
383,105,0,(turtle 317),10,0.1111111111111111,2712615917472.1577
416,105,0,(turtle 317),11,0.0727272727272727,2755051739955.0874
291,105,3,(turtle 317),11,0.0363636363636363,234842210.63904124
182,105,0,(turtle 317),15,0.0380952380952381,2570874780813.596
923,105,0,(turtle 317),17,0.0808823529411764,1684654322942.6294
843,105,0,(turtle 317),13,0.0512820512820512,2156187575990.412
189,105,0,(turtle 317),15,0.0380952380952381,2236095168928.48
185,105,0,(turtle 317),18,0.0457516339869281,2624092171534.0083
597,105,0,(turtle 317),18,0.065359477124183,2847063940360.631
576,105,110,(turtle 317),105,0.0139194139194139,4616142295.639792
386,105,0,(turtle 317),16,0.025,4625023487523.877
177,105,63,(turtle 317),65,0.025,1070512743.7355472
539,105,84,(turtle 317),86,0.013953488372093,1437393998.5117822
24,105,44,(turtle 317),51,0.0203921568627451,1322434280.508188
977,105,0,(turtle 317),12,0.0151515151515151,3998300268489.08
475,105,0,(turtle 317),21,0.0714285714285714,5177680801839.97
861,105,0,(turtle 317),13,0.0128205128205128,1708569082351.0674
793,105,0,(turtle 317),21,0.0428571428571428,2124477160877.71
435,105,4,(turtle 317),16,0.0666666666666666,317962919.4705411
510,105,0,(turtle 317),16,0.0416666666666666,4023584940271.8286
999,105,0,(turtle 317),12,0.0606060606060606,3791000070855.343
495,105,0,(turtle 317),16,0.0666666666666666,4719945118454.17
204,105,0,(turtle 317),13,0.0256410256410256,1956332611753.628
101,105,0,(turtle 317),15,0.0666666666666666,2911666477736.34
928,105,0,(turtle 317),13,0.0512820512820512,3825701745354.5386
365,105,0,(turtle 317),15,0.0666666666666666,2659992626862.6973
450,105,0,(turtle 317),19,0.0584795321637426,3333708997093.768
48,105,0,(turtle 317),21,0.0857142857142857,2215397028214.571
887,105,0,(turtle 317),16,0.0916666666666666,2062300623339.107
990,105,52,(turtle 317),60,0.027683615819209,988953090.4705822
589,105,0,(turtle 317),12,0.0909090909090909,1959245017197.3647
